subj,trg,trial,id,block,snr,cond,pa,pd,pa_pfe,pd_pfe,fd_int,fd,sgd_int,sgd_i,sgd
7,12,6,28,2,2,1,2328.408,6956.541,317.6682,510.8832,0.4486181,0.4693187,1.448102,1.433401,1.413032
7,15,7,29,2,5,1,2509.314,7229.432,594.3079,947.8762,0.3309731,0.3237367,1.477202,1.469728,1.460323
7,13,8,30,2,3,1,2029.554,6492.791,65.48251,124.8464,0.352096,0.3508257,1.570912,1.56809,1.602911
7,11,9,31,2,1,1,2192.426,6758.424,186.6603,318.5286,0.3456774,0.3544875,1.422104,1.412297,1.399611
7,14,10,32,2,4,1,2161.24,6706.621,199.8108,343.2675,0.3575211,0.3734169,1.543802,1.53776,1.506179
7,12,11,33,2,2,1,1995.156,6430.856,10.18655,26.7179,0.4034334,0.4139207,1.409769,1.403927,1.4184
7,14,12,34,2,4,1,1820.706,6156.263,-109.171,-154.4063,0.292009,0.2989135,1.662737,1.661959,1.669018
7,13,13,35,2,3,1,1648.632,5857.91,-268.2893,-431.8298,0.3789482,0.3710576,1.533478,1.520291,1.560343
7,15,14,36,2,5,1,1683.146,5920.25,-270.3981,-426.0049,0.2696764,0.2779107,1.625913,1.625121,1.608668
7,11,15,37,2,1,1,1855.442,6212.507,-192.4149,-295.6974,0.403495,0.4200945,1.406511,1.371654,1.407623
